year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,Sant Andreu,foreign population from low or middle income countries (%),,5.6
2015,Barcelona,Sant Andreu,average income per person (€),,14448
2015,Barcelona,la Sagrera,employed population (%),,61.4
2015,Barcelona,la Sagrera,low-skilled workers (%),,8.7
2015,Barcelona,la Sagrera,population with low studies (%),.., 
2015,Barcelona,la Sagrera,young population without post-compulsory education (%),.., 
2015,Barcelona,la Sagrera,foreign population from low or middle income countries (%),,10
2015,Barcelona,la Sagrera,average income per person (€),,13525
2015,Barcelona,el Congrés i els Indians,employed population (%),,63.5
2015,Barcelona,el Congrés i els Indians,low-skilled workers (%),,8.8
2015,Barcelona,el Congrés i els Indians,population with low studies (%),.., 
2015,Barcelona,el Congrés i els Indians,young population without post-compulsory education (%),.., 
2015,Barcelona,el Congrés i els Indians,foreign population from low or middle income countries (%),,10.7
2015,Barcelona,el Congrés i els Indians,average income per person (€),,13497
2015,Barcelona,Navas,employed population (%),,62.3
2015,Barcelona,Navas,low-skilled workers (%),,8.5
2015,Barcelona,Navas,population with low studies (%),.., 
2015,Barcelona,Navas,young population without post-compulsory education (%),.., 
2015,Barcelona,Navas,foreign population from low or middle income countries (%),,10.4
2015,Barcelona,Navas,average income per person (€),,13719
2015,Barcelona,el Camp de l'Arpa del Clot,employed population (%),,61.6
2015,Barcelona,el Camp de l'Arpa del Clot,low-skilled workers (%),,7.3
2015,Barcelona,el Camp de l'Arpa del Clot,population with low studies (%),.., 
2015,Barcelona,el Camp de l'Arpa del Clot,young population without post-compulsory education (%),.., 
2015,Barcelona,el Camp de l'Arpa del Clot,foreign population from low or middle income countries (%),,10.8
2015,Barcelona,el Camp de l'Arpa del Clot,average income per person (€),,14219
2015,Barcelona,el Clot,employed population (%),,62
2015,Barcelona,el Clot,low-skilled workers (%),,7.6
2015,Barcelona,el Clot,population with low studies (%),.., 
2015,Barcelona,el Clot,young population without post-compulsory education (%),.., 
2015,Barcelona,el Clot,foreign population from low or middle income countries (%),,9.5
2015,Barcelona,el Clot,average income per person (€),,13772
2015,Barcelona,el Parc i la Llacuna del Poblenou,employed population (%),,58.5
2015,Barcelona,el Parc i la Llacuna del Poblenou,low-skilled workers (%),,6.1
2015,Barcelona,el Parc i la Llacuna del Poblenou,population with low studies (%),.., 
2015,Barcelona,el Parc i la Llacuna del Poblenou,young population without post-compulsory education (%),.., 
